metric,Bias (RMSD of all gridpoints),Bias (RMSD of all gridpoints),Mean change (Future - Reference),Mean change (Future - Reference)
variable,Temperature (K),Precipitation (kg/m2/s),Temperature (K),Precipitation (kg/m2/s)
dataset,,,,
CMIP6_CanESM5_r17i1p1f1,2.93E+00,1.68E-05,3.20E+00,2.01E-06
CMIP6_CanESM5_r17i1p2f1,3.00E+00,1.71E-05,3.27E+00,2.13E-06
CMIP6_CanESM5_r18i1p1f1,2.97E+00,1.70E-05,2.98E+00,1.45E-06
CMIP6_CanESM5_r18i1p2f1,2.89E+00,1.69E-05,3.39E+00,2.25E-06
CMIP6_CanESM5_r19i1p1f1,2.90E+00,1.70E-05,3.46E+00,1.84E-06
CMIP6_CanESM5_r19i1p2f1,3.11E+00,1.70E-05,3.48E+00,2.19E-06
CMIP6_CanESM5_r1i1p1f1,2.81E+00,1.69E-05,3.36E+00,2.10E-06
CMIP6_CanESM5_r1i1p2f1,2.96E+00,1.70E-05,3.56E+00,2.14E-06
CMIP6_CanESM5_r20i1p1f1,2.82E+00,1.67E-05,3.51E+00,2.15E-06
CMIP6_CanESM5_r20i1p2f1,2.98E+00,1.68E-05,3.78E+00,2.41E-06
CMIP6_CanESM5_r21i1p1f1,2.91E+00,1.70E-05,3.27E+00,2.03E-06
CMIP6_CanESM5_r21i1p2f1,2.94E+00,1.67E-05,3.53E+00,2.07E-06
CMIP6_CanESM5_r22i1p1f1,3.03E+00,1.71E-05,3.54E+00,2.12E-06
CMIP6_CanESM5_r22i1p2f1,2.89E+00,1.68E-05,3.07E+00,1.72E-06
CMIP6_CanESM5_r23i1p1f1,2.92E+00,1.68E-05,3.65E+00,1.74E-06
CMIP6_CanESM5_r23i1p2f1,2.84E+00,1.67E-05,3.66E+00,1.89E-06
CMIP6_CanESM5_r24i1p1f1,2.92E+00,1.67E-05,3.20E+00,1.89E-06
CMIP6_CanESM5_r24i1p2f1,2.93E+00,1.69E-05,3.49E+00,2.03E-06
CMIP6_CanESM5_r25i1p1f1,2.91E+00,1.69E-05,3.34E+00,1.67E-06
CMIP6_CanESM5_r25i1p2f1,2.89E+00,1.67E-05,3.47E+00,2.30E-06
CMIP6_CanESM5_r2i1p1f1,2.85E+00,1.67E-05,3.57E+00,2.44E-06
CMIP6_CanESM5_r2i1p2f1,3.00E+00,1.70E-05,3.41E+00,1.86E-06
CMIP6_CanESM5_r3i1p1f1,2.93E+00,1.70E-05,3.53E+00,2.04E-06
CMIP6_CanESM5_r3i1p2f1,2.95E+00,1.70E-05,3.51E+00,2.35E-06
CMIP6_CanESM5_r4i1p1f1,2.84E+00,1.68E-05,3.30E+00,1.95E-06
CMIP6_CanESM5_r4i1p2f1,2.98E+00,1.71E-05,3.40E+00,1.80E-06
CMIP6_CanESM5_r5i1p1f1,2.92E+00,1.68E-05,3.37E+00,2.14E-06
CMIP6_CanESM5_r5i1p2f1,2.95E+00,1.68E-05,3.55E+00,2.27E-06
CMIP6_CanESM5_r6i1p1f1,2.97E+00,1.70E-05,3.38E+00,1.80E-06
CMIP6_CanESM5_r6i1p2f1,2.88E+00,1.70E-05,3.49E+00,1.92E-06
CMIP6_CanESM5_r7i1p1f1,2.89E+00,1.68E-05,3.55E+00,2.19E-06
CMIP6_CanESM5_r7i1p2f1,3.10E+00,1.69E-05,3.58E+00,2.16E-06
CMIP6_CanESM5_r8i1p1f1,2.91E+00,1.68E-05,3.21E+00,1.94E-06
CMIP6_CanESM5_r8i1p2f1,3.00E+00,1.70E-05,3.43E+00,2.04E-06
CMIP6_CanESM5_r9i1p1f1,2.87E+00,1.68E-05,3.37E+00,2.22E-06
CMIP6_CanESM5_r9i1p2f1,2.95E+00,1.68E-05,3.39E+00,1.98E-06
CMIP6_E3SM-1-1_r1i1p1f1,3.46E+00,1.66E-05,4.61E+00,1.49E-06
CMIP6_EC-Earth3-CC_r1i1p1f1,2.83E+00,1.66E-05,1.72E+00,4.59E-07
CMIP6_EC-Earth3-Veg-LR_r1i1p1f1,3.40E+00,1.64E-05,1.93E+00,2.67E-07
CMIP6_EC-Earth3-Veg-LR_r2i1p1f1,4.32E+00,1.68E-05,3.83E+00,1.67E-06
CMIP6_EC-Earth3-Veg-LR_r3i1p1f1,5.22E+00,1.69E-05,4.06E+00,2.69E-06
CMIP6_EC-Earth3-Veg_r10i1p1f1,2.85E+00,1.68E-05,1.98E+00,4.36E-07
CMIP6_EC-Earth3-Veg_r12i1p1f1,3.32E+00,1.68E-05,2.83E+00,1.23E-06
CMIP6_EC-Earth3-Veg_r14i1p1f1,2.95E+00,1.67E-05,2.29E+00,5.18E-07
CMIP6_EC-Earth3-Veg_r1i1p1f1,2.92E+00,1.66E-05,2.57E+00,9.20E-07
CMIP6_EC-Earth3-Veg_r2i1p1f1,2.93E+00,1.66E-05,2.48E+00,8.55E-07
CMIP6_EC-Earth3-Veg_r3i1p1f1,3.27E+00,1.69E-05,2.75E+00,1.15E-06
CMIP6_EC-Earth3-Veg_r4i1p1f1,3.71E+00,1.67E-05,3.68E+00,1.64E-06
CMIP6_EC-Earth3-Veg_r6i1p1f1,3.75E+00,1.69E-05,3.62E+00,1.84E-06
CMIP6_EC-Earth3_r101i1p1f1,2.95E+00,1.67E-05,2.37E+00,1.00E-06
CMIP6_EC-Earth3_r102i1p1f1,3.30E+00,1.67E-05,2.95E+00,1.37E-06
CMIP6_EC-Earth3_r103i1p1f1,3.68E+00,1.67E-05,3.29E+00,1.18E-06
CMIP6_EC-Earth3_r104i1p1f1,3.21E+00,1.66E-05,2.66E+00,9.53E-07
CMIP6_EC-Earth3_r105i1p1f1,3.59E+00,1.66E-05,3.48E+00,1.55E-06
CMIP6_EC-Earth3_r106i1p1f1,3.78E+00,1.68E-05,4.07E+00,2.28E-06
CMIP6_EC-Earth3_r107i1p1f1,2.87E+00,1.67E-05,2.44E+00,6.77E-07
CMIP6_EC-Earth3_r108i1p1f1,3.08E+00,1.68E-05,2.69E+00,1.46E-06
CMIP6_EC-Earth3_r109i1p1f1,3.60E+00,1.70E-05,3.37E+00,1.71E-06
CMIP6_EC-Earth3_r110i1p1f1,3.05E+00,1.65E-05,2.58E+00,9.50E-07
CMIP6_EC-Earth3_r111i1p1f1,3.85E+00,1.67E-05,3.99E+00,2.03E-06
CMIP6_EC-Earth3_r112i1p1f1,4.27E+00,1.66E-05,4.64E+00,2.48E-06
CMIP6_EC-Earth3_r113i1p1f1,3.38E+00,1.67E-05,2.90E+00,1.10E-06
CMIP6_EC-Earth3_r114i1p1f1,3.13E+00,1.66E-05,2.70E+00,1.15E-06
CMIP6_EC-Earth3_r115i1p1f1,3.23E+00,1.69E-05,3.09E+00,1.09E-06
CMIP6_EC-Earth3_r116i1p1f1,3.05E+00,1.68E-05,2.75E+00,8.07E-07
CMIP6_EC-Earth3_r117i1p1f1,4.30E+00,1.68E-05,4.52E+00,2.23E-06
CMIP6_EC-Earth3_r118i1p1f1,4.05E+00,1.69E-05,4.33E+00,2.12E-06
CMIP6_EC-Earth3_r119i1p1f1,2.86E+00,1.65E-05,2.63E+00,9.01E-07
CMIP6_EC-Earth3_r11i1p1f1,3.59E+00,1.65E-05,3.79E+00,2.01E-06
CMIP6_EC-Earth3_r120i1p1f1,3.04E+00,1.68E-05,2.40E+00,4.20E-07
CMIP6_EC-Earth3_r121i1p1f1,3.19E+00,1.68E-05,2.96E+00,1.17E-06
CMIP6_EC-Earth3_r122i1p1f1,3.15E+00,1.68E-05,2.47E+00,8.83E-07
CMIP6_EC-Earth3_r123i1p1f1,3.43E+00,1.67E-05,3.14E+00,1.62E-06
CMIP6_EC-Earth3_r124i1p1f1,4.04E+00,1.68E-05,4.51E+00,2.44E-06
CMIP6_EC-Earth3_r125i1p1f1,2.88E+00,1.66E-05,2.36E+00,8.20E-07
CMIP6_EC-Earth3_r126i1p1f1,3.04E+00,1.67E-05,2.50E+00,1.13E-06
CMIP6_EC-Earth3_r127i1p1f1,2.91E+00,1.66E-05,2.39E+00,8.58E-07
CMIP6_EC-Earth3_r128i1p1f1,3.05E+00,1.66E-05,2.50E+00,1.05E-06
CMIP6_EC-Earth3_r129i1p1f1,3.39E+00,1.68E-05,3.67E+00,1.61E-06
CMIP6_EC-Earth3_r130i1p1f1,4.19E+00,1.67E-05,4.76E+00,2.75E-06
CMIP6_EC-Earth3_r131i1p1f1,2.90E+00,1.68E-05,2.38E+00,6.32E-07
CMIP6_EC-Earth3_r132i1p1f1,3.27E+00,1.66E-05,2.89E+00,1.14E-06
CMIP6_EC-Earth3_r133i1p1f1,3.04E+00,1.67E-05,2.92E+00,7.55E-07
CMIP6_EC-Earth3_r134i1p1f1,2.93E+00,1.67E-05,2.13E+00,5.69E-07
CMIP6_EC-Earth3_r135i1p1f1,3.32E+00,1.70E-05,3.28E+00,1.50E-06
CMIP6_EC-Earth3_r136i1p1f1,3.30E+00,1.65E-05,3.30E+00,1.78E-06
CMIP6_EC-Earth3_r137i1p1f1,3.13E+00,1.67E-05,2.39E+00,9.61E-07
CMIP6_EC-Earth3_r138i1p1f1,3.07E+00,1.67E-05,2.35E+00,8.50E-07
CMIP6_EC-Earth3_r139i1p1f1,2.99E+00,1.66E-05,2.58E+00,1.10E-06
CMIP6_EC-Earth3_r13i1p1f1,3.09E+00,1.67E-05,2.72E+00,7.54E-07
CMIP6_EC-Earth3_r140i1p1f1,2.79E+00,1.68E-05,1.95E+00,2.65E-07
CMIP6_EC-Earth3_r141i1p1f1,4.35E+00,1.67E-05,4.35E+00,2.62E-06
CMIP6_EC-Earth3_r142i1p1f1,3.64E+00,1.64E-05,3.72E+00,1.68E-06
CMIP6_EC-Earth3_r143i1p1f1,3.16E+00,1.65E-05,2.80E+00,9.21E-07
CMIP6_EC-Earth3_r144i1p1f1,3.31E+00,1.66E-05,2.95E+00,1.43E-06
CMIP6_EC-Earth3_r145i1p1f1,3.80E+00,1.66E-05,3.25E+00,1.63E-06
CMIP6_EC-Earth3_r146i1p1f1,2.92E+00,1.64E-05,2.06E+00,1.02E-06
CMIP6_EC-Earth3_r147i1p1f1,4.02E+00,1.67E-05,3.90E+00,1.57E-06
CMIP6_EC-Earth3_r148i1p1f1,3.93E+00,1.69E-05,4.14E+00,2.40E-06
CMIP6_EC-Earth3_r149i1p1f1,3.63E+00,1.68E-05,3.09E+00,8.74E-07
CMIP6_EC-Earth3_r150i1p1f1,3.03E+00,1.67E-05,2.56E+00,9.47E-07
CMIP6_EC-Earth3_r15i1p1f1,2.98E+00,1.67E-05,2.29E+00,6.01E-07
CMIP6_EC-Earth3_r1i1p1f1,3.24E+00,1.66E-05,3.29E+00,1.34E-06
CMIP6_EC-Earth3_r3i1p1f1,3.28E+00,1.67E-05,2.97E+00,1.23E-06
CMIP6_EC-Earth3_r4i1p1f1,2.97E+00,1.66E-05,2.35E+00,5.47E-07
CMIP6_EC-Earth3_r6i1p1f1,3.18E+00,1.66E-05,2.80E+00,1.19E-06
CMIP6_EC-Earth3_r9i1p1f1,2.84E+00,1.67E-05,2.20E+00,3.32E-07
CMIP6_FGOALS-f3-L_r1i1p1f1,3.90E+00,1.87E-05,1.88E+00,5.49E-07
CMIP6_FGOALS-g3_r1i1p1f1,6.74E+00,1.80E-05,2.13E+00,5.96E-07
CMIP6_FGOALS-g3_r2i1p1f1,6.58E+00,1.80E-05,1.52E+00,4.62E-07
CMIP6_FGOALS-g3_r3i1p1f1,7.06E+00,1.81E-05,1.84E+00,8.44E-07
