dataset,tas_bias,pr_bias,tas_change,pr_change,project,member,model
CMIP6_ACCESS-ESM1-5_r10i1p1f1,3.0,1.6934399999999998,2.9,0.045446400000000005,CMIP6,r10i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r1i1p1f1,3.01,1.6934399999999998,2.63,-0.012009599999999999,CMIP6,r1i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r2i1p1f1,3.08,1.6934399999999998,2.53,0.0476064,CMIP6,r2i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r3i1p1f1,2.93,1.6675200000000001,2.63,0.0405216,CMIP6,r3i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r4i1p1f1,3.04,1.71072,2.11,-0.012182400000000001,CMIP6,r4i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r5i1p1f1,3.05,1.67616,2.95,0.0430272,CMIP6,r5i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r6i1p1f1,3.11,1.6848,2.66,0.0321408,CMIP6,r6i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r7i1p1f1,3.01,1.67616,2.6,0.00724032,CMIP6,r7i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r8i1p1f1,2.99,1.6934399999999998,2.6,0.0029203199999999997,CMIP6,r8i1p1f1,ACCESS-ESM1-5
CMIP6_ACCESS-ESM1-5_r9i1p1f1,3.07,1.6675200000000001,3.03,0.024624000000000004,CMIP6,r9i1p1f1,ACCESS-ESM1-5
CMIP6_AWI-CM-1-1-MR_r1i1p1f1,2.91,1.5552000000000001,2.56,0.0662688,CMIP6,r1i1p1f1,AWI-CM-1-1-MR
CMIP6_BCC-CSM2-MR_r1i1p1f1,4.22,1.50336,2.64,0.0433728,CMIP6,r1i1p1f1,BCC-CSM2-MR
CMIP6_CAMS-CSM1-0_r1i1p1f1,4.43,1.58976,1.48,0.0422496,CMIP6,r1i1p1f1,CAMS-CSM1-0
CMIP6_CAMS-CSM1-0_r2i1p1f1,4.5,1.56384,1.45,0.0285984,CMIP6,r2i1p1f1,CAMS-CSM1-0
CMIP6_CAS-ESM2-0_r1i1p1f1,5.79,1.6934399999999998,2.56,0.0482112,CMIP6,r1i1p1f1,CAS-ESM2-0
